comment,sentiment
How did you get that lock screen ?? Showing 81 temprature,NEGATIVE
Yea. Nough said!,NEGATIVE
We agree to agree ✨,POSITIVE
"I guess it’s time to upgrade my 
iPhone 11",NEGATIVE
I just bought my 17 a few hours ago I’m so happy😭,NEGATIVE
Money IS no object...,NEGATIVE
elite,POSITIVE
5:40 subscribe to your channel bro😂,NEGATIVE
"any popular video production brand always just has to film in 30fps

just why? it looks so bad",NEGATIVE
✅️,NEGATIVE
great,POSITIVE
Thank you!!!,POSITIVE
Tô muito curioso pra ver como vai ser o iPhone dobrável. Um iPhone que dobra parece tão diferente do estilo da Apple 🤔,NEGATIVE
Such incredible talent.,POSITIVE
"Naki, hrozně si vážíme tohohle videa a tvé otevřenosti i přesto, že to je tvoje soukromí a nám do toho nic není. Moc si tě všichni vážíme, těšíme se na další videa a HLAVNĚ, AŤ JE TI BRZO LÍP ❤️💪",NEGATIVE
Still using an iPhone 12. About to hop on to this!,NEGATIVE
I could give a f about selfie camera,NEGATIVE
It is really a 24MP front camera?  🤔,NEGATIVE
Awesome review. Now I want an iPhone 17 🤣,POSITIVE
Such incredible talent.,POSITIVE
Got mine in White just few days ago im in love w it❤,POSITIVE
Dude my audio track was on Japanese and I thought it was a skit. Until it never stopped 😂😂😂 don’t know how that happened,NEGATIVE
hi thanks,POSITIVE
Peak stuff,POSITIVE
2:13 got an ad,NEGATIVE
Still have 14pro max and I’m considering upgrading! 😊,POSITIVE
Such a beautiful voice.,POSITIVE
"4:28
bro tried to sneak a pixel in an iphone review 😭",NEGATIVE
Apple is finally catching up and actually giving value.,POSITIVE
Only 90 fps in Pubg 🥲,NEGATIVE
Ucuz değil hiç değil 😅,NEGATIVE
aura,POSITIVE
No asterisks is crazy😂😂,NEGATIVE
"Same thoughts, nice review love it.￼",POSITIVE
10:52 if you are not a 'pro'  😭😭😭,NEGATIVE
Some iPhone 17 pro please🤲😢,NEGATIVE
"Iphone 17 it's best deal, sadly iphone air will downing selling because iphone 17 base is existence 😂",NEGATIVE
What's your take on Shadow gate?,POSITIVE
Done. Went from 14 Plus to 17.,POSITIVE
Need Xiaomi 17 Pro Max Review,NEGATIVE
Тут без вариантов,POSITIVE
Review a vertu phone,NEGATIVE
15 pro max holding strong 💪🏾,POSITIVE
hi,POSITIVE
I still love iPhone mini’s,POSITIVE
i’m suprised apple didn’t go to like 90hz instead of full 120,NEGATIVE
Great video,POSITIVE
"Great review as always, Mario Brownlee is bowling",POSITIVE
Great vid!,POSITIVE
yooo am a 16e user. I NEED AN IPHONE 17,NEGATIVE
bose QC ultra 2 review!!!!,POSITIVE
Always a pleasure to watch your reviews end to end. No drama. No bs. Only facts. Thank you,POSITIVE
CONTINUITY!🤣,POSITIVE
I guess apple had to start competing now lol,NEGATIVE
Absolutely love this tune.,POSITIVE
but what if in coming from a 14 pro,NEGATIVE
Great article,POSITIVE
I wish it came with a bigger screen,NEGATIVE
Im sure Apple will increase base iphone prices next year.,POSITIVE
1:57 most accurate statement ever,POSITIVE
I upgraded from pixel 4a to iPhone 17.,NEGATIVE
I’m convinced. I’m gonna buy this phone next year.,NEGATIVE
iPhones 15 pro tituinm,NEGATIVE
How aboutXiaomi17 pro？,NEGATIVE
Language in hindi,POSITIVE
5:45 mx master 4 review?,NEGATIVE
Dope video,NEGATIVE
9:13 I loved 3D Touch!,POSITIVE
Nice,POSITIVE
8:27 what's that weird shot. 😅,NEGATIVE
🇹🇿🇹🇿🇹🇿,NEGATIVE
Al paid reviews,POSITIVE
Still way expensive,NEGATIVE
😂😂😂😂😂😂❤❤❤,NEGATIVE
